#cluster size degeneracy contacts threshold density metric
0 15 0 1.11 1.7500 1.0 -
1 3 0 1.00 2.5000 1.0 -
2 2 0 0.83 2.5000 1.0 -
3 2 0 0.61 2.5000 1.0 -
4 2 0 1.00 2.5000 1.0 -
5 2 0 1.00 2.5000 1.0 -
6 1 0 1.00 2.5000 1.0 -
7 2 0 0.89 2.5000 1.0 -
8 1 0 0.94 2.5000 1.0 -
9 1 0 0.83 2.5000 1.0 -
10 1 0 1.17 1.7500 1.0 -
11 1 0 1.11 1.7500 1.0 -
12 1 0 1.06 1.7500 1.0 -
13 1 0 1.00 2.5000 1.0 -
14 1 0 1.22 1.7500 1.0 -
15 2 0 1.00 2.5000 1.0 -
16 2 0 1.11 1.7500 1.0 -
17 8 0 0.89 2.5000 1.0 -
18 2 0 1.00 2.5000 1.0 -
19 2 0 0.67 2.5000 1.0 -
20 3 0 0.72 2.5000 1.0 -
21 1 1 0.72 2.5000 1.0 -
22 2 0 1.11 1.7500 1.0 -
23 2 0 1.22 1.7500 1.0 -
24 2 0 1.33 1.7500 1.0 -
25 3 0 0.78 2.5000 1.0 -
26 4 0 0.89 2.5000 1.0 -
27 3 0 0.67 2.5000 1.0 -
28 2 0 1.11 1.7500 1.0 -
29 3 0 0.83 2.5000 1.0 -
30 4 0 0.89 2.5000 1.0 -
31 4 0 1.00 2.5000 1.0 -
32 2 0 1.11 1.7500 1.0 -
33 3 0 1.17 1.7500 1.0 -
34 4 0 0.83 2.5000 1.0 -
35 3 0 0.94 2.5000 1.0 -
36 3 0 1.11 1.7500 1.0 -
37 2 0 1.11 1.7500 1.0 -
38 2 0 1.00 2.5000 1.0 -
39 2 0 1.17 1.7500 1.0 -
40 3 0 0.83 2.5000 1.0 -
41 1 1 0.67 2.5000 1.0 -
42 1 1 1.11 1.7500 1.0 -
43 1 1 0.89 2.5000 1.0 -
44 1 1 0.83 2.5000 1.0 -
45 1 1 0.78 2.5000 1.0 -
46 1 0 1.11 1.7500 1.0 -
47 1 0 1.06 1.7500 1.0 -
48 1 0 0.94 2.5000 1.0 -
49 1 0 0.78 2.5000 1.0 -
50 1 0 0.94 2.5000 1.0 -
51 2 0 0.67 2.5000 1.0 -
52 2 0 0.83 2.5000 1.0 -
53 1 0 1.11 1.7500 1.0 -
54 1 1 0.67 2.5000 1.0 -
55 2 0 1.00 2.5000 1.0 -
56 1 1 0.89 2.5000 1.0 -
57 1 0 1.06 1.7500 1.0 -
58 1 1 1.00 2.5000 1.0 -
59 2 0 0.67 2.5000 1.0 -
60 1 1 1.11 1.7500 1.0 -
61 1 1 0.89 2.5000 1.0 -
62 1 1 0.83 2.5000 1.0 -
63 2 0 0.83 2.5000 1.0 -
64 1 0 1.06 1.7500 1.0 -
65 2 0 0.61 2.5000 1.0 -
66 1 1 0.61 2.5000 1.0 -
67 5 0 0.33 6.0000 1.0 -
68 1 0 0.67 2.5000 1.0 -
69 1 0 0.89 2.5000 1.0 -
70 1 1 1.00 2.5000 1.0 -
71 1 1 0.89 2.5000 1.0 -
