#cluster size degeneracy contacts threshold density metric
0 39 0 0.87 2.5000 1.0 -
1 46 0 0.53 4.0000 1.0 -
2 6 0 0.93 2.5000 1.0 -
3 9 0 1.00 2.5000 1.0 -
4 5 0 1.00 2.5000 1.0 -
5 10 0 0.93 2.5000 1.0 -
6 6 0 1.07 1.7500 1.0 -
7 43 0 0.47 4.0000 1.0 -
8 6 0 0.73 2.5000 1.0 -
9 9 0 0.67 2.5000 1.0 -
10 6 0 0.73 2.5000 1.0 -
11 13 0 0.80 2.5000 1.0 -
12 5 0 0.67 2.5000 1.0 -
13 11 0 1.07 1.7500 1.0 -
14 5 0 1.20 1.7500 1.0 -
15 5 0 1.07 1.7500 1.0 -
16 17 0 0.60 4.0000 1.0 -
17 7 0 0.67 2.5000 1.0 -
18 5 0 0.67 2.5000 1.0 -
19 16 0 0.53 4.0000 1.0 -
20 5 0 0.60 4.0000 1.0 -
21 14 0 0.33 6.0000 1.0 -
22 6 0 0.60 4.0000 1.0 -
23 8 0 0.93 2.5000 1.0 -
24 7 0 1.13 1.7500 1.0 -
25 5 0 1.07 1.7500 1.0 -
26 5 0 0.73 2.5000 1.0 -
27 5 0 1.07 1.7500 1.0 -
28 7 0 1.33 1.7500 1.0 -
29 5 0 1.13 1.7500 1.0 -
30 6 0 1.27 1.7500 1.0 -
31 8 0 0.80 2.5000 1.0 -
32 6 0 1.27 1.7500 1.0 -
33 5 0 1.27 1.7500 1.0 -
34 5 0 0.73 2.5000 1.0 -
35 9 0 0.47 4.0000 1.0 -
36 4 0 1.00 2.5000 1.0 -
37 5 0 1.20 1.7500 1.0 -
38 6 0 1.00 2.5000 1.0 -
39 6 0 1.20 1.7500 1.0 -
40 3 1 0.87 2.5000 1.0 -
41 3 1 1.27 1.7500 1.0 -
42 3 1 0.87 2.5000 1.0 -
43 5 0 1.00 2.5000 1.0 -
44 1 1 0.93 2.5000 1.0 -
45 2 1 1.20 1.7500 1.0 -
46 1 1 1.00 2.5000 1.0 -
47 1 1 1.27 1.7500 1.0 -
48 1 1 0.80 2.5000 1.0 -
49 1 1 0.80 2.5000 1.0 -
50 3 1 0.47 4.0000 1.0 -
51 3 0 0.60 4.0000 1.0 -
52 1 1 0.87 2.5000 1.0 -
53 1 1 1.27 1.7500 1.0 -
54 2 1 1.07 1.7500 1.0 -
55 1 1 1.13 1.7500 1.0 -
56 1 1 1.00 2.5000 1.0 -
