Cluster,Population,MeanRMSD,currentEnergy min,currentEnergy 5-percentile,currentEnergy 25-percentile,currentEnergy mean,currentEnergy 75-percentile,currentEnergy 95-percentile,currentEnergy max,currentEnergy standard deviation,bindingEnergy min,bindingEnergy 5-percentile,bindingEnergy 25-percentile,bindingEnergy mean,bindingEnergy 75-percentile,bindingEnergy 95-percentile,bindingEnergy max,bindingEnergy standard deviation,ligandSASA min,ligandSASA 5-percentile,ligandSASA 25-percentile,ligandSASA mean,ligandSASA 75-percentile,ligandSASA 95-percentile,ligandSASA max,ligandSASA standard deviation,ligandRMSD min,ligandRMSD 5-percentile,ligandRMSD 25-percentile,ligandRMSD mean,ligandRMSD 75-percentile,ligandRMSD 95-percentile,ligandRMSD max,ligandRMSD standard deviation,H38_OG-L1_C3 min,H38_OG-L1_C3 5-percentile,H38_OG-L1_C3 25-percentile,H38_OG-L1_C3 mean,H38_OG-L1_C3 75-percentile,H38_OG-L1_C3 95-percentile,H38_OG-L1_C3 max,H38_OG-L1_C3 standard deviation,H38_OG-L1_C7 min,H38_OG-L1_C7 5-percentile,H38_OG-L1_C7 25-percentile,H38_OG-L1_C7 mean,H38_OG-L1_C7 75-percentile,H38_OG-L1_C7 95-percentile,H38_OG-L1_C7 max,H38_OG-L1_C7 standard deviation,H38_OG-L1_C10 min,H38_OG-L1_C10 5-percentile,H38_OG-L1_C10 25-percentile,H38_OG-L1_C10 mean,H38_OG-L1_C10 75-percentile,H38_OG-L1_C10 95-percentile,H38_OG-L1_C10 max,H38_OG-L1_C10 standard deviation,H38_HG-H175_ND1 min,H38_HG-H175_ND1 5-percentile,H38_HG-H175_ND1 25-percentile,H38_HG-H175_ND1 mean,H38_HG-H175_ND1 75-percentile,H38_HG-H175_ND1 95-percentile,H38_HG-H175_ND1 max,H38_HG-H175_ND1 standard deviation,H175_HE2-H40_OE2 min,H175_HE2-H40_OE2 5-percentile,H175_HE2-H40_OE2 25-percentile,H175_HE2-H40_OE2 mean,H175_HE2-H40_OE2 75-percentile,H175_HE2-H40_OE2 95-percentile,H175_HE2-H40_OE2 max,H175_HE2-H40_OE2 standard deviation,H175_HE2-H40_OE1 min,H175_HE2-H40_OE1 5-percentile,H175_HE2-H40_OE1 25-percentile,H175_HE2-H40_OE1 mean,H175_HE2-H40_OE1 75-percentile,H175_HE2-H40_OE1 95-percentile,H175_HE2-H40_OE1 max,H175_HE2-H40_OE1 standard deviation,Selected labels
3,0.19402985074626866,4.044952677479534,-3542.65,-3533.157,-3519.575,-3467.289090909091,-3437.235,-3357.12,-3330.89,51.750365627019455,-27.957,-18.08424,-13.599699999999999,-10.230383999999999,-6.8299900000000004,-3.6212279999999963,5.78544,5.074889654452216,0.283953,0.35695350000000003,0.44118599999999997,0.5111674055944055,0.583739,0.6819180000000001,0.813059,0.10622753198750864,3.25428,3.874627,4.997075,5.619108951048951,6.402475000000001,7.080915,7.4204,0.9765977250594062,3.06347,3.740048,4.61209,5.9303046853146855,6.98322,9.951307000000003,10.8951,1.765550044914114,3.31863,4.551874000000001,5.54866,6.559865314685315,7.41844,8.795946,10.2157,1.3599846424203865,4.55189,5.581918,7.14323,8.230383076923077,9.281555,10.49329,11.7696,1.5384855996658997,1.70267,2.263505,5.213325,5.390747272727272,6.130465,6.316592,6.90362,1.1324409080414963,1.41921,1.512019,3.42265,3.7502139860139856,3.9531,5.427640000000001,12.1062,2.0125557303793387,1.34988,1.495471,1.54064,2.6785636363636365,3.42856,4.307788000000002,10.5248,1.876690720407894,D
0,0.32700135685210313,4.217025644387655,-3545.7,-3537.41,-3519.5,-3464.3157676348546,-3433.93,-3352.6,-3315.61,56.84555072174842,-25.1705,-19.9022,-13.4709,-10.116645078838175,-6.04228,-3.42752,9.33634,5.495016449898116,0.247576,0.352004,0.42781,0.5169157717842323,0.602973,0.696712,0.821678,0.1081464284919004,2.09261,3.23642,4.66618,5.267467302904564,6.0836,6.5815,7.33637,1.0492621847153545,3.92103,4.302,5.56039,7.044083817427385,8.37426,10.084,11.8255,1.7905291395468381,3.23134,3.94619,4.93813,6.4778577593361,7.89917,9.66078,11.1637,1.8029705780275933,3.15583,3.58076,4.65851,5.914463236514523,7.02607,8.72354,10.6594,1.599827203606528,1.84128,2.26185,4.84865,5.313143485477179,6.1315,6.31999,7.0833,1.1279620228294602,1.38114,1.55256,3.43367,4.119249792531121,4.32305,11.7973,12.0981,2.294094020467145,1.40283,1.49539,1.55286,3.0389256016597512,3.46326,9.93513,11.8601,2.3210821137386723,A
2,0.16960651289009498,3.9589926829653432,-3539.59,-3535.376,-3510.56,-3463.5968,-3436.01,-3358.392,-3316.6,51.8758890059727,-24.6473,-19.397280000000002,-13.9467,-10.564834088000001,-7.0429,-1.6465700000000032,3.75945,5.431832415221931,0.286247,0.323369,0.400607,0.475281872,0.537978,0.6370747999999999,0.781072,0.09934373204755102,2.44814,3.373196,5.09802,5.581741999999999,6.24137,6.873184,7.49618,0.9874427810047527,2.97895,3.997366,5.06655,6.42296432,7.8011,8.923276,11.685,1.7532449982093594,3.06755,3.723726,4.68832,6.24754928,7.5849,9.508216000000001,11.1033,1.8962499507789266,3.69894,4.791724,6.09204,6.92292512,7.61539,9.21734,10.3487,1.2910105363564566,1.8986,3.217966,5.42817,5.639994000000001,6.24213,6.3824119999999995,6.76272,0.956164381072627,1.43511,1.549764,3.33269,3.8115118399999997,3.96651,9.816228,11.9992,2.172869927831442,1.40806,1.476434,1.53256,2.84572824,3.46063,8.747002,11.8541,2.147612591700864,C
1,0.17096336499321574,4.015981510354038,-3538.89,-3530.4175,-3509.49,-3450.287698412699,-3422.395,-3349.7749999999996,-3331.38,58.85970064972903,-20.8099,-18.30555,-11.871649999999999,-9.32933165079365,-6.291942499999999,-3.0722424999999998,3.19345,4.576681267236896,0.339851,0.37713549999999996,0.44876649999999996,0.5301515396825397,0.60526525,0.68988,0.797868,0.09817607309526674,3.33117,5.027,5.7327425,6.2295751587301575,6.686875000000001,7.3951225,7.89231,0.8044745055681389,3.27103,3.52142,4.722685,6.21565246031746,7.10813,10.365995,12.9107,2.0692476596256353,3.74825,4.9771275,6.974105,8.09019015873016,9.2421425,11.49595,12.3473,1.7824981585751454,3.59752,4.225495,5.611735,6.798143412698413,7.901255000000001,9.302140000000001,10.6928,1.579000462845697,1.89036,1.923785,4.579335,5.149811984126984,6.132635,6.3289100000000005,6.638,1.3960761234191295,1.29268,1.52558,3.4847875,4.1890616666666665,4.308305,11.6907,12.0614,2.402932175814516,1.36347,1.482095,1.5603025000000001,2.9444495238095247,3.1285825,9.9664625,12.3119,2.3498691376667136,B
4,0.1383989145183175,4.075502940506487,-3540.17,-3537.0115,-3523.9049999999997,-3465.52431372549,-3432.3125,-3351.2515,-3340.76,60.3560643428678,-20.7299,-19.236734999999996,-14.1502,-10.014660294117647,-6.359425,-3.6192765000000082,5.94236,5.102912973332853,0.315448,0.35164475,0.4301365,0.5065681078431372,0.5782577499999999,0.6605596,0.719187,0.10008668738814122,4.89741,5.30589,5.849845,6.383859705882353,6.8606675,7.471388,7.73725,0.6693076490152384,3.31789,5.089479,6.53702,7.204209705882351,8.0575325,9.2610985,9.59426,1.2758625089199702,3.23779,3.5578464999999997,4.459205,6.246646862745098,7.995005000000001,9.2116405,10.6841,1.940565143594333,3.37788,3.979718,4.9139225,6.286123627450981,7.591855,9.325391999999999,10.7616,1.7493790238784337,1.79303,2.001833,5.0288625,5.2759969607843145,6.12088,6.364281,6.57358,1.2906018173346223,1.48801,1.6344880000000002,3.48992,4.127524901960784,4.3162199999999995,6.641120999999996,13.2716,2.0850736735884556,1.4322,1.47296,1.5435025,2.6617657843137255,3.0380125,6.951316999999987,11.5907,2.0899257899595645,E
