#cluster size degeneracy contacts threshold density metric
0 25 0 2.17 1.7500 1.0 -
1 6 0 2.00 1.7500 1.0 -
2 2 0 1.50 1.7500 1.0 -
3 2 0 1.50 1.7500 1.0 -
4 5 0 1.00 2.5000 1.0 -
5 14 0 2.00 1.7500 1.0 -
6 2 0 1.83 1.7500 1.0 -
7 14 0 2.00 1.7500 1.0 -
8 6 0 2.00 1.7500 1.0 -
9 2 0 1.83 1.7500 1.0 -
10 8 0 1.83 1.7500 1.0 -
11 2 0 2.50 1.7500 1.0 -
12 12 0 1.83 1.7500 1.0 -
13 5 0 2.50 1.7500 1.0 -
14 4 0 2.17 1.7500 1.0 -
15 9 0 1.67 1.7500 1.0 -
16 3 0 2.17 1.7500 1.0 -
17 3 0 1.67 1.7500 1.0 -
18 4 0 1.67 1.7500 1.0 -
19 3 0 1.83 1.7500 1.0 -
20 7 0 2.00 1.7500 1.0 -
21 2 0 1.50 1.7500 1.0 -
22 6 0 2.00 1.7500 1.0 -
23 2 0 1.83 1.7500 1.0 -
24 3 0 2.17 1.7500 1.0 -
25 3 0 1.83 1.7500 1.0 -
26 3 0 1.83 1.7500 1.0 -
27 2 0 2.33 1.7500 1.0 -
28 3 0 1.83 1.7500 1.0 -
29 3 0 2.00 1.7500 1.0 -
30 2 0 1.67 1.7500 1.0 -
31 3 0 1.67 1.7500 1.0 -
32 3 0 2.17 1.7500 1.0 -
33 3 0 2.17 1.7500 1.0 -
34 4 0 2.17 1.7500 1.0 -
35 2 0 2.17 1.7500 1.0 -
36 3 0 2.33 1.7500 1.0 -
37 2 0 2.50 1.7500 1.0 -
38 2 0 2.83 1.7500 1.0 -
39 3 0 1.50 1.7500 1.0 -
40 1 1 1.33 1.7500 1.0 -
41 1 1 1.67 1.7500 1.0 -
42 1 1 1.50 1.7500 1.0 -
43 1 1 1.33 1.7500 1.0 -
44 5 0 0.83 2.5000 1.0 -
45 1 1 1.00 2.5000 1.0 -
46 1 1 1.50 1.7500 1.0 -
47 2 0 2.50 1.7500 1.0 -
48 1 1 2.50 1.7500 1.0 -
49 1 1 2.67 1.7500 1.0 -
50 1 1 2.33 1.7500 1.0 -
51 1 1 1.67 1.7500 1.0 -
52 1 1 1.67 1.7500 1.0 -
53 1 1 1.33 1.7500 1.0 -
54 1 1 1.50 1.7500 1.0 -
55 1 0 1.83 1.7500 1.0 -
56 2 0 1.67 1.7500 1.0 -
57 1 0 2.50 1.7500 1.0 -
58 1 0 2.00 1.7500 1.0 -
59 1 0 1.50 1.7500 1.0 -
60 1 0 2.00 1.7500 1.0 -
61 3 0 1.83 1.7500 1.0 -
62 1 0 1.67 1.7500 1.0 -
63 1 1 1.50 1.7500 1.0 -
64 1 1 1.33 1.7500 1.0 -
