#cluster size degeneracy contacts threshold density metric
0 31 0 2.17 1.7500 1.0 -
1 11 0 2.00 1.7500 1.0 -
2 4 0 1.50 1.7500 1.0 -
3 4 0 1.50 1.7500 1.0 -
4 8 0 1.00 2.5000 1.0 -
5 18 0 2.00 1.7500 1.0 -
6 5 0 1.83 1.7500 1.0 -
7 20 0 2.00 1.7500 1.0 -
8 18 0 2.00 1.7500 1.0 -
9 14 0 1.83 1.7500 1.0 -
10 13 0 1.83 1.7500 1.0 -
11 11 0 2.50 1.7500 1.0 -
12 24 0 1.83 1.7500 1.0 -
13 14 0 2.50 1.7500 1.0 -
14 14 0 2.17 1.7500 1.0 -
15 9 0 1.67 1.7500 1.0 -
16 3 0 2.17 1.7500 1.0 -
17 6 0 1.67 1.7500 1.0 -
18 5 0 1.67 1.7500 1.0 -
19 7 0 1.83 1.7500 1.0 -
20 8 0 2.00 1.7500 1.0 -
21 4 0 1.50 1.7500 1.0 -
22 12 0 2.00 1.7500 1.0 -
23 5 0 1.83 1.7500 1.0 -
24 6 0 2.17 1.7500 1.0 -
25 4 0 1.83 1.7500 1.0 -
26 6 0 1.83 1.7500 1.0 -
27 3 0 2.33 1.7500 1.0 -
28 6 0 1.83 1.7500 1.0 -
29 3 1 2.00 1.7500 1.0 -
30 5 0 1.67 1.7500 1.0 -
31 4 0 1.67 1.7500 1.0 -
32 4 0 2.17 1.7500 1.0 -
33 3 1 2.17 1.7500 1.0 -
34 16 0 2.17 1.7500 1.0 -
35 10 0 2.17 1.7500 1.0 -
36 9 0 2.33 1.7500 1.0 -
37 13 0 2.50 1.7500 1.0 -
38 5 0 2.83 1.7500 1.0 -
39 4 0 1.50 1.7500 1.0 -
40 13 0 1.33 1.7500 1.0 -
41 4 0 1.67 1.7500 1.0 -
42 13 0 1.50 1.7500 1.0 -
43 5 0 1.33 1.7500 1.0 -
44 14 0 0.83 2.5000 1.0 -
45 24 0 1.00 2.5000 1.0 -
46 3 0 1.50 1.7500 1.0 -
47 5 0 2.50 1.7500 1.0 -
48 8 0 2.50 1.7500 1.0 -
49 13 0 2.67 1.7500 1.0 -
50 6 0 2.33 1.7500 1.0 -
51 3 1 1.67 1.7500 1.0 -
52 11 0 1.67 1.7500 1.0 -
53 4 0 1.33 1.7500 1.0 -
54 10 0 1.50 1.7500 1.0 -
55 7 0 1.83 1.7500 1.0 -
56 7 0 1.67 1.7500 1.0 -
57 6 0 2.50 1.7500 1.0 -
58 5 0 2.00 1.7500 1.0 -
59 6 0 1.50 1.7500 1.0 -
60 5 0 2.00 1.7500 1.0 -
61 9 0 1.83 1.7500 1.0 -
62 4 0 1.67 1.7500 1.0 -
63 11 0 1.50 1.7500 1.0 -
64 6 0 1.33 1.7500 1.0 -
65 9 0 1.67 1.7500 1.0 -
66 15 0 1.00 2.5000 1.0 -
67 6 0 1.17 1.7500 1.0 -
68 7 0 1.83 1.7500 1.0 -
69 5 0 1.67 1.7500 1.0 -
70 4 0 1.17 1.7500 1.0 -
71 4 0 1.83 1.7500 1.0 -
72 6 0 1.83 1.7500 1.0 -
73 4 0 1.50 1.7500 1.0 -
74 3 0 1.67 1.7500 1.0 -
75 4 0 2.83 1.7500 1.0 -
76 19 0 2.83 1.7500 1.0 -
77 8 0 2.17 1.7500 1.0 -
78 19 0 2.17 1.7500 1.0 -
79 12 0 2.00 1.7500 1.0 -
80 4 0 1.50 1.7500 1.0 -
81 4 0 1.00 2.5000 1.0 -
82 4 0 2.33 1.7500 1.0 -
83 5 0 2.33 1.7500 1.0 -
84 8 0 2.50 1.7500 1.0 -
85 4 0 1.33 1.7500 1.0 -
86 5 0 2.17 1.7500 1.0 -
87 11 0 1.50 1.7500 1.0 -
88 6 0 1.50 1.7500 1.0 -
89 4 0 1.67 1.7500 1.0 -
90 3 0 1.17 1.7500 1.0 -
91 7 0 1.33 1.7500 1.0 -
92 11 0 2.33 1.7500 1.0 -
93 18 0 0.50 4.0000 1.0 -
94 3 0 1.17 1.7500 1.0 -
95 3 0 2.00 1.7500 1.0 -
96 3 0 1.33 1.7500 1.0 -
97 3 0 1.50 1.7500 1.0 -
98 11 0 1.00 2.5000 1.0 -
99 3 0 2.17 1.7500 1.0 -
100 3 0 1.83 1.7500 1.0 -
101 3 0 1.67 1.7500 1.0 -
102 9 0 2.17 1.7500 1.0 -
103 5 0 2.17 1.7500 1.0 -
104 3 1 2.33 1.7500 1.0 -
105 4 0 2.67 1.7500 1.0 -
106 5 0 2.67 1.7500 1.0 -
107 3 1 1.67 1.7500 1.0 -
108 4 0 2.00 1.7500 1.0 -
109 5 0 1.50 1.7500 1.0 -
110 4 0 2.17 1.7500 1.0 -
111 4 0 3.00 1.7500 1.0 -
112 3 0 2.00 1.7500 1.0 -
113 3 0 1.17 1.7500 1.0 -
114 5 0 1.00 2.5000 1.0 -
115 3 0 1.67 1.7500 1.0 -
116 4 0 2.00 1.7500 1.0 -
117 5 0 3.00 1.7500 1.0 -
118 3 0 2.00 1.7500 1.0 -
119 3 0 2.33 1.7500 1.0 -
120 3 0 1.67 1.7500 1.0 -
121 3 0 1.50 1.7500 1.0 -
122 3 0 2.00 1.7500 1.0 -
123 3 0 2.50 1.7500 1.0 -
124 3 0 1.67 1.7500 1.0 -
125 3 0 1.00 2.5000 1.0 -
126 3 0 1.67 1.7500 1.0 -
127 3 0 1.67 1.7500 1.0 -
128 3 0 2.33 1.7500 1.0 -
129 5 0 2.50 1.7500 1.0 -
130 4 0 2.50 1.7500 1.0 -
131 3 0 2.67 1.7500 1.0 -
132 3 0 2.17 1.7500 1.0 -
133 3 0 1.67 1.7500 1.0 -
134 6 0 1.33 1.7500 1.0 -
135 3 0 2.33 1.7500 1.0 -
136 4 0 2.50 1.7500 1.0 -
137 5 0 2.50 1.7500 1.0 -
138 3 0 1.67 1.7500 1.0 -
139 1 2 2.17 1.7500 1.0 -
140 1 2 1.83 1.7500 1.0 -
141 1 2 1.67 1.7500 1.0 -
142 1 2 0.83 2.5000 1.0 -
143 1 2 2.00 1.7500 1.0 -
