#cluster size degeneracy contacts threshold density metric
0 25 0 2.17 1.7500 1.0 -
1 8 0 2.00 1.7500 1.0 -
2 3 0 1.50 1.7500 1.0 -
3 2 0 1.50 1.7500 1.0 -
4 5 0 1.00 2.5000 1.0 -
5 16 0 2.00 1.7500 1.0 -
6 3 0 1.83 1.7500 1.0 -
7 15 0 2.00 1.7500 1.0 -
8 9 0 2.00 1.7500 1.0 -
9 3 0 1.83 1.7500 1.0 -
10 11 0 1.83 1.7500 1.0 -
11 2 0 2.50 1.7500 1.0 -
12 12 0 1.83 1.7500 1.0 -
13 5 0 2.50 1.7500 1.0 -
14 4 0 2.17 1.7500 1.0 -
15 9 0 1.67 1.7500 1.0 -
16 3 0 2.17 1.7500 1.0 -
17 4 0 1.67 1.7500 1.0 -
18 5 0 1.67 1.7500 1.0 -
19 5 0 1.83 1.7500 1.0 -
20 7 0 2.00 1.7500 1.0 -
21 2 0 1.50 1.7500 1.0 -
22 7 0 2.00 1.7500 1.0 -
23 2 0 1.83 1.7500 1.0 -
24 3 0 2.17 1.7500 1.0 -
25 4 0 1.83 1.7500 1.0 -
26 3 0 1.83 1.7500 1.0 -
27 2 0 2.33 1.7500 1.0 -
28 3 0 1.83 1.7500 1.0 -
29 3 0 2.00 1.7500 1.0 -
30 2 0 1.67 1.7500 1.0 -
31 3 0 1.67 1.7500 1.0 -
32 3 0 2.17 1.7500 1.0 -
33 3 0 2.17 1.7500 1.0 -
34 4 0 2.17 1.7500 1.0 -
35 3 0 2.17 1.7500 1.0 -
36 3 0 2.33 1.7500 1.0 -
37 3 0 2.50 1.7500 1.0 -
38 5 0 2.83 1.7500 1.0 -
39 3 0 1.50 1.7500 1.0 -
40 9 0 1.33 1.7500 1.0 -
41 2 0 1.67 1.7500 1.0 -
42 3 0 1.50 1.7500 1.0 -
43 4 0 1.33 1.7500 1.0 -
44 7 0 0.83 2.5000 1.0 -
45 12 0 1.00 2.5000 1.0 -
46 2 0 1.50 1.7500 1.0 -
47 2 0 2.50 1.7500 1.0 -
48 2 0 2.50 1.7500 1.0 -
49 2 0 2.67 1.7500 1.0 -
50 2 0 2.33 1.7500 1.0 -
51 2 0 1.67 1.7500 1.0 -
52 4 0 1.67 1.7500 1.0 -
53 2 0 1.33 1.7500 1.0 -
54 4 0 1.50 1.7500 1.0 -
55 2 0 1.83 1.7500 1.0 -
56 2 0 1.67 1.7500 1.0 -
57 1 1 2.50 1.7500 1.0 -
58 2 0 2.00 1.7500 1.0 -
59 1 1 1.50 1.7500 1.0 -
60 1 1 2.00 1.7500 1.0 -
61 3 0 1.83 1.7500 1.0 -
62 1 1 1.67 1.7500 1.0 -
63 3 0 1.50 1.7500 1.0 -
64 5 0 1.33 1.7500 1.0 -
65 1 1 1.67 1.7500 1.0 -
66 6 0 1.00 2.5000 1.0 -
67 1 1 1.17 1.7500 1.0 -
68 2 0 1.83 1.7500 1.0 -
69 1 1 1.67 1.7500 1.0 -
70 1 1 1.17 1.7500 1.0 -
71 1 1 1.83 1.7500 1.0 -
72 2 0 1.83 1.7500 1.0 -
73 1 1 1.50 1.7500 1.0 -
74 1 1 1.67 1.7500 1.0 -
75 2 0 2.83 1.7500 1.0 -
76 1 1 2.83 1.7500 1.0 -
77 1 0 2.17 1.7500 1.0 -
78 1 1 2.17 1.7500 1.0 -
79 1 1 2.00 1.7500 1.0 -
80 1 1 1.50 1.7500 1.0 -
