#cluster size degeneracy contacts threshold density metric
0 26 0 1.30 1.7500 1.0 -
1 4 0 1.40 1.7500 1.0 -
2 15 0 1.20 1.7500 1.0 -
3 11 0 1.20 1.7500 1.0 -
4 9 0 1.40 1.7500 1.0 -
5 4 0 1.20 1.7500 1.0 -
6 4 0 1.10 1.7500 1.0 -
7 12 0 1.20 1.7500 1.0 -
8 8 0 1.20 1.7500 1.0 -
9 11 0 1.30 1.7500 1.0 -
10 14 0 1.40 1.7500 1.0 -
11 8 0 1.20 1.7500 1.0 -
12 25 0 1.00 2.5000 1.0 -
13 3 0 1.20 1.7500 1.0 -
14 8 0 1.10 1.7500 1.0 -
15 4 0 1.20 1.7500 1.0 -
16 5 0 1.20 1.7500 1.0 -
17 7 0 1.20 1.7500 1.0 -
18 7 0 1.20 1.7500 1.0 -
19 14 0 0.80 2.5000 1.0 -
20 5 0 1.50 1.7500 1.0 -
21 10 0 1.40 1.7500 1.0 -
22 8 0 1.60 1.7500 1.0 -
23 10 0 1.50 1.7500 1.0 -
24 7 0 1.70 1.7500 1.0 -
25 11 0 1.70 1.7500 1.0 -
26 9 0 1.00 2.5000 1.0 -
27 4 0 1.10 1.7500 1.0 -
28 6 0 1.10 1.7500 1.0 -
29 11 0 1.00 2.5000 1.0 -
30 4 0 1.30 1.7500 1.0 -
31 5 0 1.20 1.7500 1.0 -
32 3 1 1.10 1.7500 1.0 -
33 3 1 1.30 1.7500 1.0 -
34 85 0 0.60 4.0000 1.0 -
35 6 0 1.40 1.7500 1.0 -
36 3 0 1.40 1.7500 1.0 -
37 3 0 1.30 1.7500 1.0 -
38 6 0 1.20 1.7500 1.0 -
39 8 0 0.90 2.5000 1.0 -
40 4 0 1.20 1.7500 1.0 -
41 4 0 1.50 1.7500 1.0 -
42 4 0 1.10 1.7500 1.0 -
43 4 0 1.20 1.7500 1.0 -
44 5 0 1.20 1.7500 1.0 -
45 17 0 0.90 2.5000 1.0 -
46 4 0 1.50 1.7500 1.0 -
47 3 0 1.50 1.7500 1.0 -
48 5 0 0.80 2.5000 1.0 -
49 8 0 1.30 1.7500 1.0 -
50 4 0 1.20 1.7500 1.0 -
51 3 0 1.30 1.7500 1.0 -
52 10 0 0.70 2.5000 1.0 -
53 32 0 1.00 2.5000 1.0 -
54 6 0 1.20 1.7500 1.0 -
55 5 0 1.10 1.7500 1.0 -
56 5 0 1.10 1.7500 1.0 -
57 4 0 1.10 1.7500 1.0 -
58 20 0 1.00 2.5000 1.0 -
59 5 0 1.50 1.7500 1.0 -
60 4 0 1.10 1.7500 1.0 -
61 7 0 1.00 2.5000 1.0 -
62 5 0 1.20 1.7500 1.0 -
63 4 0 1.10 1.7500 1.0 -
64 4 0 1.20 1.7500 1.0 -
65 3 1 1.10 1.7500 1.0 -
66 32 0 0.90 2.5000 1.0 -
67 3 0 1.20 1.7500 1.0 -
68 4 0 0.90 2.5000 1.0 -
69 7 0 0.70 2.5000 1.0 -
70 5 0 0.90 2.5000 1.0 -
71 3 0 1.20 1.7500 1.0 -
72 3 0 1.10 1.7500 1.0 -
73 3 0 1.30 1.7500 1.0 -
74 4 0 0.70 2.5000 1.0 -
75 5 0 1.40 1.7500 1.0 -
76 4 0 1.30 1.7500 1.0 -
77 9 0 1.10 1.7500 1.0 -
78 9 0 0.80 2.5000 1.0 -
79 7 0 1.30 1.7500 1.0 -
80 8 0 1.30 1.7500 1.0 -
81 4 0 1.60 1.7500 1.0 -
82 14 0 1.50 1.7500 1.0 -
83 3 0 1.20 1.7500 1.0 -
84 22 0 1.00 2.5000 1.0 -
85 19 0 0.60 4.0000 1.0 -
86 10 0 1.50 1.7500 1.0 -
87 7 0 1.50 1.7500 1.0 -
88 5 0 1.50 1.7500 1.0 -
89 4 0 1.50 1.7500 1.0 -
90 8 0 1.40 1.7500 1.0 -
91 4 0 1.40 1.7500 1.0 -
92 3 1 1.80 1.7500 1.0 -
93 3 1 0.90 2.5000 1.0 -
94 14 0 0.60 4.0000 1.0 -
95 4 0 1.00 2.5000 1.0 -
96 13 0 1.50 1.7500 1.0 -
97 6 0 1.30 1.7500 1.0 -
