#cluster size degeneracy contacts threshold density metric
0 32 0 2.17 1.7500 1.0 -
1 11 0 2.00 1.7500 1.0 -
2 4 0 1.50 1.7500 1.0 -
3 4 0 1.50 1.7500 1.0 -
4 8 0 1.00 2.5000 1.0 -
5 19 0 2.00 1.7500 1.0 -
6 5 0 1.83 1.7500 1.0 -
7 23 0 2.00 1.7500 1.0 -
8 20 0 2.00 1.7500 1.0 -
9 15 0 1.83 1.7500 1.0 -
10 13 0 1.83 1.7500 1.0 -
11 11 0 2.50 1.7500 1.0 -
12 24 0 1.83 1.7500 1.0 -
13 14 0 2.50 1.7500 1.0 -
14 19 0 2.17 1.7500 1.0 -
15 14 0 1.67 1.7500 1.0 -
16 3 0 2.17 1.7500 1.0 -
17 6 0 1.67 1.7500 1.0 -
18 6 0 1.67 1.7500 1.0 -
19 7 0 1.83 1.7500 1.0 -
20 10 0 2.00 1.7500 1.0 -
21 4 0 1.50 1.7500 1.0 -
22 13 0 2.00 1.7500 1.0 -
23 5 0 1.83 1.7500 1.0 -
24 6 0 2.17 1.7500 1.0 -
25 6 0 1.83 1.7500 1.0 -
26 7 0 1.83 1.7500 1.0 -
27 6 0 2.33 1.7500 1.0 -
28 7 0 1.83 1.7500 1.0 -
29 5 0 2.00 1.7500 1.0 -
30 6 0 1.67 1.7500 1.0 -
31 4 0 1.67 1.7500 1.0 -
32 4 0 2.17 1.7500 1.0 -
33 5 0 2.17 1.7500 1.0 -
34 17 0 2.17 1.7500 1.0 -
35 12 0 2.17 1.7500 1.0 -
36 9 0 2.33 1.7500 1.0 -
37 17 0 2.50 1.7500 1.0 -
38 6 0 2.83 1.7500 1.0 -
39 4 0 1.50 1.7500 1.0 -
40 15 0 1.33 1.7500 1.0 -
41 4 0 1.67 1.7500 1.0 -
42 13 0 1.50 1.7500 1.0 -
43 5 0 1.33 1.7500 1.0 -
44 15 0 0.83 2.5000 1.0 -
45 24 0 1.00 2.5000 1.0 -
46 3 0 1.50 1.7500 1.0 -
47 5 0 2.50 1.7500 1.0 -
