#cluster size degeneracy contacts threshold density metric
0 22 0 1.30 1.7500 1.0 -
1 4 0 1.40 1.7500 1.0 -
2 14 0 1.20 1.7500 1.0 -
3 9 0 1.20 1.7500 1.0 -
4 8 0 1.40 1.7500 1.0 -
5 2 0 1.20 1.7500 1.0 -
6 4 0 1.10 1.7500 1.0 -
7 9 0 1.20 1.7500 1.0 -
8 5 0 1.20 1.7500 1.0 -
9 7 0 1.30 1.7500 1.0 -
10 9 0 1.40 1.7500 1.0 -
11 8 0 1.20 1.7500 1.0 -
12 24 0 1.00 2.5000 1.0 -
13 2 1 1.20 1.7500 1.0 -
14 7 0 1.10 1.7500 1.0 -
15 2 1 1.20 1.7500 1.0 -
16 4 0 1.20 1.7500 1.0 -
17 4 0 1.20 1.7500 1.0 -
18 5 0 1.20 1.7500 1.0 -
19 14 0 0.80 2.5000 1.0 -
20 4 0 1.50 1.7500 1.0 -
21 6 0 1.40 1.7500 1.0 -
22 6 0 1.60 1.7500 1.0 -
23 8 0 1.50 1.7500 1.0 -
24 6 0 1.70 1.7500 1.0 -
25 9 0 1.70 1.7500 1.0 -
26 9 0 1.00 2.5000 1.0 -
27 4 0 1.10 1.7500 1.0 -
28 6 0 1.10 1.7500 1.0 -
29 8 0 1.00 2.5000 1.0 -
30 4 0 1.30 1.7500 1.0 -
31 5 0 1.20 1.7500 1.0 -
32 3 0 1.10 1.7500 1.0 -
33 3 0 1.30 1.7500 1.0 -
34 77 0 0.60 4.0000 1.0 -
35 4 0 1.40 1.7500 1.0 -
36 3 0 1.40 1.7500 1.0 -
37 3 0 1.30 1.7500 1.0 -
38 6 0 1.20 1.7500 1.0 -
39 8 0 0.90 2.5000 1.0 -
40 4 0 1.20 1.7500 1.0 -
41 4 0 1.50 1.7500 1.0 -
42 4 0 1.10 1.7500 1.0 -
43 4 0 1.20 1.7500 1.0 -
44 4 0 1.20 1.7500 1.0 -
45 16 0 0.90 2.5000 1.0 -
46 4 0 1.50 1.7500 1.0 -
47 3 0 1.50 1.7500 1.0 -
48 4 0 0.80 2.5000 1.0 -
49 7 0 1.30 1.7500 1.0 -
50 3 0 1.20 1.7500 1.0 -
51 3 0 1.30 1.7500 1.0 -
52 10 0 0.70 2.5000 1.0 -
53 30 0 1.00 2.5000 1.0 -
54 6 0 1.20 1.7500 1.0 -
55 5 0 1.10 1.7500 1.0 -
56 5 0 1.10 1.7500 1.0 -
57 4 0 1.10 1.7500 1.0 -
58 20 0 1.00 2.5000 1.0 -
59 5 0 1.50 1.7500 1.0 -
60 3 0 1.10 1.7500 1.0 -
61 7 0 1.00 2.5000 1.0 -
62 5 0 1.20 1.7500 1.0 -
63 4 0 1.10 1.7500 1.0 -
64 3 0 1.20 1.7500 1.0 -
65 3 0 1.10 1.7500 1.0 -
66 25 0 0.90 2.5000 1.0 -
67 3 0 1.20 1.7500 1.0 -
68 4 0 0.90 2.5000 1.0 -
69 6 0 0.70 2.5000 1.0 -
70 3 0 0.90 2.5000 1.0 -
71 3 0 1.20 1.7500 1.0 -
72 3 0 1.10 1.7500 1.0 -
73 3 0 1.30 1.7500 1.0 -
74 3 0 0.70 2.5000 1.0 -
75 5 0 1.40 1.7500 1.0 -
76 4 0 1.30 1.7500 1.0 -
77 8 0 1.10 1.7500 1.0 -
78 7 0 0.80 2.5000 1.0 -
79 6 0 1.30 1.7500 1.0 -
80 7 0 1.30 1.7500 1.0 -
81 4 0 1.60 1.7500 1.0 -
82 14 0 1.50 1.7500 1.0 -
83 3 0 1.20 1.7500 1.0 -
84 21 0 1.00 2.5000 1.0 -
85 19 0 0.60 4.0000 1.0 -
86 10 0 1.50 1.7500 1.0 -
87 7 0 1.50 1.7500 1.0 -
88 3 0 1.50 1.7500 1.0 -
89 4 0 1.50 1.7500 1.0 -
90 4 0 1.40 1.7500 1.0 -
91 4 0 1.40 1.7500 1.0 -
92 3 0 1.80 1.7500 1.0 -
93 3 0 0.90 2.5000 1.0 -
94 13 0 0.60 4.0000 1.0 -
95 4 0 1.00 2.5000 1.0 -
96 8 0 1.50 1.7500 1.0 -
97 4 0 1.30 1.7500 1.0 -
98 6 0 1.30 1.7500 1.0 -
99 5 0 1.80 1.7500 1.0 -
100 5 0 1.60 1.7500 1.0 -
101 5 0 1.90 1.7500 1.0 -
102 3 0 1.10 1.7500 1.0 -
103 11 0 1.00 2.5000 1.0 -
104 3 0 1.30 1.7500 1.0 -
105 3 0 1.20 1.7500 1.0 -
106 4 0 1.10 1.7500 1.0 -
107 6 0 0.80 2.5000 1.0 -
108 18 0 0.60 4.0000 1.0 -
109 4 0 1.10 1.7500 1.0 -
110 4 0 0.80 2.5000 1.0 -
111 5 0 0.80 2.5000 1.0 -
112 4 0 0.90 2.5000 1.0 -
113 3 0 1.50 1.7500 1.0 -
114 4 0 1.70 1.7500 1.0 -
115 3 0 1.50 1.7500 1.0 -
116 4 0 1.50 1.7500 1.0 -
117 4 0 1.30 1.7500 1.0 -
118 3 0 1.50 1.7500 1.0 -
119 4 0 1.20 1.7500 1.0 -
120 2 1 1.20 1.7500 1.0 -
121 4 0 1.70 1.7500 1.0 -
122 4 0 1.40 1.7500 1.0 -
123 4 0 1.70 1.7500 1.0 -
124 3 0 1.70 1.7500 1.0 -
125 4 0 1.50 1.7500 1.0 -
126 3 0 1.40 1.7500 1.0 -
127 5 0 0.70 2.5000 1.0 -
128 3 0 0.90 2.5000 1.0 -
129 3 0 0.60 4.0000 1.0 -
130 4 0 1.70 1.7500 1.0 -
131 5 0 1.50 1.7500 1.0 -
132 3 0 1.50 1.7500 1.0 -
133 3 0 0.80 2.5000 1.0 -
134 3 0 1.70 1.7500 1.0 -
135 3 0 1.00 2.5000 1.0 -
136 3 0 1.50 1.7500 1.0 -
137 3 0 1.20 1.7500 1.0 -
138 3 0 1.30 1.7500 1.0 -
139 7 0 0.60 4.0000 1.0 -
140 2 1 1.30 1.7500 1.0 -
141 2 1 1.20 1.7500 1.0 -
142 2 1 1.60 1.7500 1.0 -
143 2 1 1.30 1.7500 1.0 -
144 2 1 1.40 1.7500 1.0 -
145 2 1 1.60 1.7500 1.0 -
146 1 1 1.40 1.7500 1.0 -
147 1 1 1.40 1.7500 1.0 -
148 1 1 1.60 1.7500 1.0 -
149 1 1 1.70 1.7500 1.0 -
150 1 1 1.60 1.7500 1.0 -
151 1 1 1.30 1.7500 1.0 -
