id,name,reference_name,lowest_binding_energy,cluster_label,best_pose,conformation_id,conformation_name
2,complex_1,complex_2,-12.4192,C,complex_2/results/cluster_C.pdb,3,complex_1
2,complex_1,complex_2,-11.5328,B,complex_2/results/cluster_B.pdb,4,complex_1
2,complex_1,complex_2,-15.9293,A,complex_2/results/cluster_A.pdb,5,complex_1
2,complex_1,complex_2,-10.5474,D,complex_2/results/cluster_D.pdb,6,complex_1
