Cluster,Population,MeanRMSD,currentEnergy min,currentEnergy 5-percentile,currentEnergy 25-percentile,currentEnergy mean,currentEnergy 75-percentile,currentEnergy 95-percentile,currentEnergy max,currentEnergy standard deviation,bindingEnergy min,bindingEnergy 5-percentile,bindingEnergy 25-percentile,bindingEnergy mean,bindingEnergy 75-percentile,bindingEnergy 95-percentile,bindingEnergy max,bindingEnergy standard deviation,ligandSASA min,ligandSASA 5-percentile,ligandSASA 25-percentile,ligandSASA mean,ligandSASA 75-percentile,ligandSASA 95-percentile,ligandSASA max,ligandSASA standard deviation,ligandRMSD min,ligandRMSD 5-percentile,ligandRMSD 25-percentile,ligandRMSD mean,ligandRMSD 75-percentile,ligandRMSD 95-percentile,ligandRMSD max,ligandRMSD standard deviation,L1_C3-H38_OG min,L1_C3-H38_OG 5-percentile,L1_C3-H38_OG 25-percentile,L1_C3-H38_OG mean,L1_C3-H38_OG 75-percentile,L1_C3-H38_OG 95-percentile,L1_C3-H38_OG max,L1_C3-H38_OG standard deviation,H38_HG-H175_ND1 min,H38_HG-H175_ND1 5-percentile,H38_HG-H175_ND1 25-percentile,H38_HG-H175_ND1 mean,H38_HG-H175_ND1 75-percentile,H38_HG-H175_ND1 95-percentile,H38_HG-H175_ND1 max,H38_HG-H175_ND1 standard deviation,H175_HE2-H40_OE2 min,H175_HE2-H40_OE2 5-percentile,H175_HE2-H40_OE2 25-percentile,H175_HE2-H40_OE2 mean,H175_HE2-H40_OE2 75-percentile,H175_HE2-H40_OE2 95-percentile,H175_HE2-H40_OE2 max,H175_HE2-H40_OE2 standard deviation,H175_HE2-H40_OE1 min,H175_HE2-H40_OE1 5-percentile,H175_HE2-H40_OE1 25-percentile,H175_HE2-H40_OE1 mean,H175_HE2-H40_OE1 75-percentile,H175_HE2-H40_OE1 95-percentile,H175_HE2-H40_OE1 max,H175_HE2-H40_OE1 standard deviation,Selected labels
2,0.17386722866174922,2.200835468081725,-3697.75,-3675.228,-3654.87,-3629.127212121212,-3579.72,-3553.036,-3509.5,43.231695661904006,-12.4192,-10.887039999999999,-9.18273,-7.264016721212121,-6.1853,-1.5693960000000022,11.2581,3.196057270089269,0.100015,0.1549418,0.230863,0.2789681454545454,0.338888,0.38822179999999995,0.491122,0.07715755114044874,1.23193,2.101518,2.86588,3.2268325454545446,3.61732,4.05777,4.6824,0.6147290656261846,3.27422,3.912888,4.99131,6.090632303030303,7.06638,8.555508,9.30927,1.4000468301936555,1.68848,1.8007,2.2,5.036408484848485,6.55107,6.667097999999999,6.95329,2.02486682841736,1.47444,1.500366,1.53225,1.9915678181818184,1.79123,3.70039,4.25489,0.8429814762989271,1.47328,1.54104,3.61574,3.3629371515151516,3.67817,3.9626699999999997,5.57095,0.8557600068178319,C
1,0.2834562697576396,2.5194886741722184,-3697.17,-3685.804,-3647.65,-3607.3428996282532,-3573.85,-3567.3239999999996,-3534.86,42.3955620414624,-11.5328,-8.02524,-6.22501,-5.149099486988848,-4.04959,-2.4622400000000004,3.59144,1.8315977653848363,0.156021,0.2797642,0.352778,0.41860957620817846,0.483925,0.5935106,0.692092,0.09371790966440198,2.43104,3.062932,3.79244,4.284294312267659,4.77396,5.303472,5.70427,0.6721114631520306,3.05158,3.7625759999999997,4.57907,5.816037100371747,6.8675,9.029371999999999,10.7725,1.6505478214088167,1.76482,1.7852400000000002,1.81898,4.025739516728624,6.37092,6.60307,6.79912,2.05618592213858,1.34002,1.5058340000000001,1.54188,2.2449994052044606,3.5724,3.7271360000000002,4.52095,0.9469248317205617,1.4203,1.531342,2.84936,3.227339888475836,3.74993,4.270243999999999,5.24662,0.9925449612647065,B
0,0.3466807165437302,2.6656871308271226,-3709.91,-3673.096,-3655.27,-3617.51537993921,-3570.64,-3546.968,-3509.2,47.31963467170418,-15.9293,-10.33254,-7.96586,-5.519745674772037,-3.97657,0.7814281999999985,15.6128,3.8130421323901564,0.0853674,0.17888,0.25292,0.3187904389057751,0.369887,0.5344267999999995,0.69418,0.1023219680146459,1.3173,1.925386,2.51769,3.1938049544072946,3.68166,4.871365999999999,5.64955,0.8557388867951055,3.34587,4.019686,5.27109,6.423216838905775,7.35454,9.340582,10.8527,1.522993428510663,1.71665,1.796072,1.8709,4.591577963525836,6.51556,6.837409999999999,7.25011,2.103639659151159,1.38699,1.5032240000000001,1.53621,2.70098273556231,3.66176,3.825359999999998,6.79394,1.189510882159086,1.47193,1.521554,1.56023,2.730557112462006,3.67195,3.858739999999999,5.67777,1.1290123841505098,A
3,0.19599578503688092,2.5447442271584815,-3708.18,-3661.875,-3647.9700000000003,-3603.405591397849,-3573.54,-3567.435,-3555.99,39.4152437478701,-10.5474,-7.2419075,-5.485135,-4.422429437634409,-3.5309725,-1.8941125,4.48659,1.7993168282432053,0.224946,0.31452674999999997,0.403548,0.46453311290322574,0.52203875,0.61733625,0.722908,0.08910187021318493,2.22026,3.2824324999999996,4.0039625,4.446426182795699,4.987075,5.4194375,5.89152,0.6663439105344902,3.60293,4.179,5.711715,6.930645913978495,8.275165,9.852797500000001,10.3637,1.6766788392304262,1.74743,1.7798325000000002,1.801785,4.00821747311828,5.9585625,6.57652,6.70043,2.1152851335299605,1.48849,1.5397925000000001,1.5594675,2.591452096774194,3.7066825,3.7516800000000003,4.1732,1.0479594940519221,1.44868,1.5390975,1.5615625,2.8157506989247314,3.7529575,3.9843825,5.40664,1.1439721091532256,D
