#cluster size degeneracy contacts threshold density metric
0 36 0 0.87 2.5000 1.0 -
1 36 0 0.53 4.0000 1.0 -
2 5 0 0.93 2.5000 1.0 -
3 5 0 1.00 2.5000 1.0 -
4 4 0 1.00 2.5000 1.0 -
5 8 0 0.93 2.5000 1.0 -
6 6 0 1.07 1.7500 1.0 -
7 16 0 0.47 4.0000 1.0 -
8 3 1 0.73 2.5000 1.0 -
9 8 0 0.67 2.5000 1.0 -
10 4 0 0.73 2.5000 1.0 -
11 11 0 0.80 2.5000 1.0 -
12 5 0 0.67 2.5000 1.0 -
13 1 1 1.07 1.7500 1.0 -
14 1 2 1.20 1.7500 1.0 -
15 1 1 1.07 1.7500 1.0 -
16 1 1 0.60 4.0000 1.0 -
17 3 1 0.67 2.5000 1.0 -
18 3 1 0.67 2.5000 1.0 -
19 9 0 0.53 4.0000 1.0 -
20 4 0 0.60 4.0000 1.0 -
21 6 0 0.33 6.0000 1.0 -
22 1 1 0.60 4.0000 1.0 -
23 2 1 0.93 2.5000 1.0 -
24 1 1 1.13 1.7500 1.0 -
25 1 2 1.07 1.7500 1.0 -
26 1 2 0.73 2.5000 1.0 -
