#cluster size degeneracy contacts threshold density metric
0 17 0 1.30 1.7500 1.0 -
1 2 0 1.40 1.7500 1.0 -
2 8 0 1.20 1.7500 1.0 -
3 1 0 1.20 1.7500 1.0 -
4 3 0 1.40 1.7500 1.0 -
5 1 1 1.20 1.7500 1.0 -
6 2 0 1.10 1.7500 1.0 -
7 1 1 1.20 1.7500 1.0 -
8 1 1 1.20 1.7500 1.0 -
9 3 0 1.30 1.7500 1.0 -
10 2 0 1.40 1.7500 1.0 -
11 7 0 1.20 1.7500 1.0 -
12 7 0 1.00 2.5000 1.0 -
13 1 1 1.20 1.7500 1.0 -
14 4 0 1.10 1.7500 1.0 -
15 1 1 1.20 1.7500 1.0 -
16 2 0 1.20 1.7500 1.0 -
17 4 0 1.20 1.7500 1.0 -
18 2 0 1.20 1.7500 1.0 -
19 7 0 0.80 2.5000 1.0 -
20 2 0 1.50 1.7500 1.0 -
21 1 1 1.40 1.7500 1.0 -
22 2 0 1.60 1.7500 1.0 -
23 2 0 1.50 1.7500 1.0 -
24 1 0 1.70 1.7500 1.0 -
25 2 0 1.70 1.7500 1.0 -
26 2 0 1.00 2.5000 1.0 -
27 1 1 1.10 1.7500 1.0 -
28 1 1 1.10 1.7500 1.0 -
29 2 0 1.00 2.5000 1.0 -
30 1 1 1.30 1.7500 1.0 -
31 1 1 1.20 1.7500 1.0 -
32 1 1 1.10 1.7500 1.0 -
33 1 0 1.30 1.7500 1.0 -
34 6 0 0.60 4.0000 1.0 -
35 1 1 1.40 1.7500 1.0 -
36 1 1 1.40 1.7500 1.0 -
37 1 0 1.30 1.7500 1.0 -
38 1 0 1.20 1.7500 1.0 -
39 1 1 0.90 2.5000 1.0 -
40 1 1 1.20 1.7500 1.0 -
