#cluster size degeneracy contacts threshold density metric
0 23 0 2.17 1.7500 1.0 -
1 3 0 2.00 1.7500 1.0 -
2 1 1 1.50 1.7500 1.0 -
3 1 1 1.50 1.7500 1.0 -
4 4 0 1.00 2.5000 1.0 -
5 11 0 2.00 1.7500 1.0 -
6 2 0 1.83 1.7500 1.0 -
7 7 0 2.00 1.7500 1.0 -
8 4 0 2.00 1.7500 1.0 -
9 1 1 1.83 1.7500 1.0 -
10 5 0 1.83 1.7500 1.0 -
11 1 1 2.50 1.7500 1.0 -
12 10 0 1.83 1.7500 1.0 -
13 5 0 2.50 1.7500 1.0 -
14 4 0 2.17 1.7500 1.0 -
15 3 0 1.67 1.7500 1.0 -
16 1 1 2.17 1.7500 1.0 -
17 1 1 1.67 1.7500 1.0 -
18 2 0 1.67 1.7500 1.0 -
19 1 1 1.83 1.7500 1.0 -
20 3 0 2.00 1.7500 1.0 -
21 2 0 1.50 1.7500 1.0 -
22 2 0 2.00 1.7500 1.0 -
23 1 1 1.83 1.7500 1.0 -
24 1 1 2.17 1.7500 1.0 -
25 2 0 1.83 1.7500 1.0 -
26 2 0 1.83 1.7500 1.0 -
27 2 0 2.33 1.7500 1.0 -
28 1 1 1.83 1.7500 1.0 -
29 2 0 2.00 1.7500 1.0 -
30 2 0 1.67 1.7500 1.0 -
31 1 1 1.67 1.7500 1.0 -
32 1 1 2.17 1.7500 1.0 -
33 2 1 2.17 1.7500 1.0 -
34 1 1 2.17 1.7500 1.0 -
35 2 0 2.17 1.7500 1.0 -
36 2 0 2.33 1.7500 1.0 -
37 2 0 2.50 1.7500 1.0 -
38 1 1 2.83 1.7500 1.0 -
