#cluster size degeneracy contacts threshold density metric
0 36 0 0.87 2.5000 1.0 -
1 42 0 0.53 4.0000 1.0 -
2 6 0 0.93 2.5000 1.0 -
3 5 1 1.00 2.5000 1.0 -
4 4 1 1.00 2.5000 1.0 -
5 9 0 0.93 2.5000 1.0 -
6 6 0 1.07 1.7500 1.0 -
7 30 0 0.47 4.0000 1.0 -
8 4 1 0.73 2.5000 1.0 -
9 9 0 0.67 2.5000 1.0 -
10 5 0 0.73 2.5000 1.0 -
11 13 0 0.80 2.5000 1.0 -
12 5 0 0.67 2.5000 1.0 -
13 4 1 1.07 1.7500 1.0 -
14 3 1 1.20 1.7500 1.0 -
15 2 1 1.07 1.7500 1.0 -
16 10 0 0.60 4.0000 1.0 -
17 7 0 0.67 2.5000 1.0 -
18 5 0 0.67 2.5000 1.0 -
19 12 0 0.53 4.0000 1.0 -
20 5 0 0.60 4.0000 1.0 -
21 11 0 0.33 6.0000 1.0 -
22 5 0 0.60 4.0000 1.0 -
23 4 1 0.93 2.5000 1.0 -
24 5 1 1.13 1.7500 1.0 -
25 5 0 1.07 1.7500 1.0 -
26 5 0 0.73 2.5000 1.0 -
27 2 1 1.07 1.7500 1.0 -
28 1 2 1.33 1.7500 1.0 -
29 1 2 1.13 1.7500 1.0 -
30 1 2 1.27 1.7500 1.0 -
