id,name,reference_name,lowest_binding_energy,cluster_label,best_pose,conformation_id,conformation_name
2,complex_1,complex_2,-27.957,D,complex_2/results/cluster_D.pdb,3,complex_1
2,complex_1,complex_2,-25.1705,A,complex_2/results/cluster_A.pdb,4,complex_1
2,complex_1,complex_2,-24.6473,C,complex_2/results/cluster_C.pdb,5,complex_1
2,complex_1,complex_2,-20.8099,B,complex_2/results/cluster_B.pdb,6,complex_1
2,complex_1,complex_2,-20.7299,E,complex_2/results/cluster_E.pdb,7,complex_1
