#cluster size degeneracy contacts threshold density metric
0 44 0 0.87 2.5000 1.0 -
1 55 0 0.53 4.0000 1.0 -
2 6 0 0.93 2.5000 1.0 -
3 9 0 1.00 2.5000 1.0 -
4 7 0 1.00 2.5000 1.0 -
5 10 0 0.93 2.5000 1.0 -
6 6 0 1.07 1.7500 1.0 -
7 50 0 0.47 4.0000 1.0 -
8 7 0 0.73 2.5000 1.0 -
9 10 0 0.67 2.5000 1.0 -
10 9 0 0.73 2.5000 1.0 -
11 14 0 0.80 2.5000 1.0 -
12 7 0 0.67 2.5000 1.0 -
13 11 0 1.07 1.7500 1.0 -
14 5 0 1.20 1.7500 1.0 -
15 5 0 1.07 1.7500 1.0 -
16 25 0 0.60 4.0000 1.0 -
17 12 0 0.67 2.5000 1.0 -
18 5 0 0.67 2.5000 1.0 -
19 30 0 0.53 4.0000 1.0 -
20 10 0 0.60 4.0000 1.0 -
21 15 0 0.33 6.0000 1.0 -
22 8 0 0.60 4.0000 1.0 -
23 12 0 0.93 2.5000 1.0 -
24 8 0 1.13 1.7500 1.0 -
25 5 0 1.07 1.7500 1.0 -
26 8 0 0.73 2.5000 1.0 -
27 5 0 1.07 1.7500 1.0 -
28 7 0 1.33 1.7500 1.0 -
29 5 0 1.13 1.7500 1.0 -
30 6 0 1.27 1.7500 1.0 -
31 10 0 0.80 2.5000 1.0 -
32 8 0 1.27 1.7500 1.0 -
33 5 0 1.27 1.7500 1.0 -
34 9 0 0.73 2.5000 1.0 -
35 32 0 0.47 4.0000 1.0 -
36 7 0 1.00 2.5000 1.0 -
37 5 0 1.20 1.7500 1.0 -
38 11 0 1.00 2.5000 1.0 -
39 8 0 1.20 1.7500 1.0 -
40 9 0 0.87 2.5000 1.0 -
41 5 0 1.27 1.7500 1.0 -
42 5 0 0.87 2.5000 1.0 -
43 12 0 1.00 2.5000 1.0 -
44 15 0 0.93 2.5000 1.0 -
45 6 0 1.20 1.7500 1.0 -
46 7 0 1.00 2.5000 1.0 -
47 5 0 1.27 1.7500 1.0 -
48 5 0 0.80 2.5000 1.0 -
49 5 0 0.80 2.5000 1.0 -
50 11 0 0.47 4.0000 1.0 -
51 9 0 0.60 4.0000 1.0 -
52 5 0 0.87 2.5000 1.0 -
53 6 0 1.27 1.7500 1.0 -
54 6 0 1.07 1.7500 1.0 -
55 6 0 1.13 1.7500 1.0 -
56 7 0 1.00 2.5000 1.0 -
57 6 0 1.00 2.5000 1.0 -
58 11 0 1.00 2.5000 1.0 -
59 14 0 1.00 2.5000 1.0 -
60 5 0 1.07 1.7500 1.0 -
61 4 1 1.07 1.7500 1.0 -
62 7 0 1.00 2.5000 1.0 -
63 5 0 1.00 2.5000 1.0 -
64 4 1 1.40 1.7500 1.0 -
65 9 0 1.07 1.7500 1.0 -
66 5 0 1.13 1.7500 1.0 -
67 4 0 1.07 1.7500 1.0 -
68 6 0 1.47 1.7500 1.0 -
69 5 0 1.00 2.5000 1.0 -
70 10 0 0.73 2.5000 1.0 -
71 5 0 1.00 2.5000 1.0 -
72 8 0 1.00 2.5000 1.0 -
73 6 0 1.00 2.5000 1.0 -
74 4 1 1.13 1.7500 1.0 -
75 9 0 1.07 1.7500 1.0 -
76 9 0 1.00 2.5000 1.0 -
77 8 0 0.73 2.5000 1.0 -
78 5 0 0.47 4.0000 1.0 -
79 6 0 0.93 2.5000 1.0 -
80 3 1 0.93 2.5000 1.0 -
81 5 0 0.87 2.5000 1.0 -
82 4 1 0.73 2.5000 1.0 -
83 3 1 0.60 4.0000 1.0 -
84 8 0 0.73 2.5000 1.0 -
85 3 1 0.67 2.5000 1.0 -
86 8 0 1.00 2.5000 1.0 -
87 4 0 1.00 2.5000 1.0 -
88 5 0 0.93 2.5000 1.0 -
89 1 2 1.20 1.7500 1.0 -
90 1 2 0.80 2.5000 1.0 -
91 3 1 0.87 2.5000 1.0 -
92 1 2 0.73 2.5000 1.0 -
93 3 1 0.53 4.0000 1.0 -
